acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
14.589607728699502,-15.521226224436793,5.722342602367355,14.589607728699502,-15.521226224436793,5.722342602367355
12.360600231246028,-14.881225752466689,5.501679670112955,12.360600231246028,-14.881225752466689,5.501679670112955
10.43763483383469,-14.46069608372545,5.846636101853721,10.43763483383469,-14.46069608372545,5.846636101853721
8.787629001044643,-13.914742664154618,6.055755424778469,8.787629001044643,-13.914742664154618,6.055755424778469
6.969903210063101,-13.404778987308209,5.900146745011498,6.969903210063101,-13.404778987308209,5.900146745011498
5.688520138937715,-12.891394150898138,5.531178277354156,5.688520138937715,-12.891394150898138,5.531178277354156
4.28424776185796,-12.27043029503608,4.6420897489962725,4.28424776185796,-12.27043029503608,4.6420897489962725
2.8360581772029017,-11.564450506665295,3.394769030956293,2.8360581772029017,-11.564450506665295,3.394769030956293
1.5269583749785456,-10.792295201462492,2.0270938653873882,1.5269583749785456,-10.792295201462492,2.0270938653873882
0.14702163837987647,-9.615159675367547,0.6801999419757587,0.14702163837987647,-9.615159675367547,0.6801999419757587
-0.6146981096012265,-8.06792069995159,0.3188923552109256,-0.6146981096012265,-8.06792069995159,0.3188923552109256
-1.1836494087547444,-7.065815347674231,0.3714900265423935,-1.1836494087547444,-7.065815347674231,0.3714900265423935
-1.5604171611799218,-6.144392246451612,0.702390599084934,-1.5604171611799218,-6.144392246451612,0.702390599084934
-1.7627569252292714,-5.646835612266661,1.3308477830509327,-1.7627569252292714,-5.646835612266661,1.3308477830509327
-1.909423749983493,-5.30629700234526,1.8362874014521653,-1.909423749983493,-5.30629700234526,1.8362874014521653
-1.9210953921068303,-4.921540206673143,1.9303565784404468,-1.9210953921068303,-4.921540206673143,1.9303565784404468
-1.975252884032234,-4.498108070021748,1.575550010015382,-1.975252884032234,-4.498108070021748,1.575550010015382
-2.1350623685837213,-4.107568352480277,0.7805923662239733,-2.1350623685837213,-4.107568352480277,0.7805923662239733
-2.414167415237272,-3.817961335268395,-0.12047378312345386,-2.414167415237272,-3.817961335268395,-0.12047378312345386
-2.7102702449782523,-3.426318402087721,-0.9609925311882999,-2.7102702449782523,-3.426318402087721,-0.9609925311882999
-3.130649241219762,-3.0533614637785567,-1.8819811667112982,-3.130649241219762,-3.0533614637785567,-1.8819811667112982
-3.5205818988714217,-2.900048064902545,-2.6061734802746646,-3.5205818988714217,-2.900048064902545,-2.6061734802746646
-3.9338577166405146,-2.6783706630093755,-3.1600100624588037,-3.9338577166405146,-2.6783706630093755,-3.1600100624588037
-4.379702662904144,-2.5074078034067693,-3.421209095299962,-4.379702662904144,-2.5074078034067693,-3.421209095299962
-4.747829571593747,-2.4853405889148212,-3.225627130673143,-4.747829571593747,-2.4853405889148212,-3.225627130673143
-5.085098000423858,-2.734344642881252,-2.7746509386574023,-5.085098000423858,-2.734344642881252,-2.7746509386574023
-5.4918998882449275,-3.110527575715694,-2.261221943178339,-5.4918998882449275,-3.110527575715694,-2.261221943178339
-5.845625577443518,-3.3467567477508102,-1.8668714973752258,-5.845625577443518,-3.3467567477508102,-1.8668714973752258
-6.394003004091448,-3.5050952765524355,-1.6912069516082808,-6.394003004091448,-3.5050952765524355,-1.6912069516082808
-7.250004137641641,-3.556004680908848,-2.1757887158007687,-7.250004137641641,-3.556004680908848,-2.1757887158007687
-8.247780289734973,-3.636602994519449,-3.1455199252607877,-8.247780289734973,-3.636602994519449,-3.1455199252607877
-8.885875203624774,-3.8129980209708365,-4.098169290334727,-8.885875203624774,-3.8129980209708365,-4.098169290334727
-9.147614636096991,-4.547191179863085,-4.629721492454872,-9.147614636096991,-4.547191179863085,-4.629721492454872
-9.167709679628238,-5.669589035262293,-5.301444372490286,-9.167709679628238,-5.669589035262293,-5.301444372490286
-9.333385989873836,-6.661058950101182,-6.1994081704782715,-9.333385989873836,-6.661058950101182,-6.1994081704782715
-10.049779499558241,-8.17366831922066,-8.254695799139187,-10.049779499558241,-8.17366831922066,-8.254695799139187
-11.300693813350263,-9.996303029277465,-11.265278810068196,-11.300693813350263,-9.996303029277465,-11.265278810068196
-12.955808407547954,-12.660493521553288,-14.282052585374117,-12.955808407547954,-12.660493521553288,-14.282052585374117
-15.297827858454703,-16.523763376367345,-17.37191871060443,-15.297827858454703,-16.523763376367345,-17.37191871060443
-17.766596672237036,-20.7594270983633,-18.639956312074087,-17.766596672237036,-20.7594270983633,-18.639956312074087
-19.589213879489837,-24.719523199854684,-16.391307161414467,-19.589213879489837,-24.719523199854684,-16.391307161414467
-20.497114614083753,-27.217550671564418,-10.499709529383678,-20.497114614083753,-27.217550671564418,-10.499709529383678
-18.256238689174303,-29.227701101354647,-2.890348466517926,-18.256238689174303,-29.227701101354647,-2.890348466517926
-13.609149466392774,-34.58554970550868,5.028209000960949,-13.609149466392774,-34.58554970550868,5.028209000960949
-11.29299328376922,-42.89596487639115,8.232027088735883,-11.29299328376922,-42.89596487639115,8.232027088735883
-10.725194250922344,-51.77581079953839,7.780172909791563,-10.725194250922344,-51.77581079953839,7.780172909791563
-7.732468215110728,-62.68048468446552,0.2632397076906172,-7.732468215110728,-62.68048468446552,0.2632397076906172
2.443449590708823,-70.79606347713121,-12.833805015637708,2.443449590708823,-70.79606347713121,-12.833805015637708
19.731629093695233,-73.24259808193774,-24.020760404386827,19.731629093695233,-73.24259808193774,-24.020760404386827
41.70834529647578,-72.67366607832722,-33.73073174750547,41.70834529647578,-72.67366607832722,-33.73073174750547
56.59079561136845,-67.71751881877228,-37.984932582417784,56.59079561136845,-67.71751881877228,-37.984932582417784
64.81353689096886,-58.926044420822784,-36.31452656342497,64.81353689096886,-58.926044420822784,-36.31452656342497
63.80948344828146,-51.41963475141934,-26.767116932902095,63.80948344828146,-51.41963475141934,-26.767116932902095
58.56435808929453,-44.16816011828505,-13.67979666988481,58.56435808929453,-44.16816011828505,-13.67979666988481
52.01967416923947,-35.02094818739181,-0.09169855497334467,52.01967416923947,-35.02094818739181,-0.09169855497334467
45.42709320687675,-27.06284087251866,7.43108684972387,45.42709320687675,-27.06284087251866,7.43108684972387
37.882196681857636,-21.539833425504764,8.88024421950393,37.882196681857636,-21.539833425504764,8.88024421950393
29.792643720211714,-17.625462125498007,7.369589155044559,29.792643720211714,-17.625462125498007,7.369589155044559
24.491055912101295,-16.275285287106694,4.726787573027037,24.491055912101295,-16.275285287106694,4.726787573027037
19.78320760327148,-14.039095234343705,2.1971260820603824,19.78320760327148,-14.039095234343705,2.1971260820603824
16.71454015063776,-11.262892481154173,0.44185313746929583,16.71454015063776,-11.262892481154173,0.44185313746929583
14.964465606924172,-9.906800189673806,-0.9310643350579138,14.964465606924172,-9.906800189673806,-0.9310643350579138
13.63736552215716,-8.838905765126166,-2.1947141211539574,13.63736552215716,-8.838905765126166,-2.1947141211539574
13.143464288458542,-8.345159519762902,-3.204529598164728,13.143464288458542,-8.345159519762902,-3.204529598164728
13.600914114584391,-8.163823243519314,-4.211482121624027,13.600914114584391,-8.163823243519314,-4.211482121624027
14.184656580694666,-8.184135747937946,-5.683817151007646,14.184656580694666,-8.184135747937946,-5.683817151007646
14.302091588002542,-8.058606120200462,-6.817452646848169,14.302091588002542,-8.058606120200462,-6.817452646848169
14.017465391541457,-7.804922292949362,-7.647864505934014,14.017465391541457,-7.804922292949362,-7.647864505934014
13.611660526981927,-7.867414331540518,-7.559126422630326,13.611660526981927,-7.867414331540518,-7.559126422630326
13.050464098730563,-8.293576307488877,-6.840353875809233,13.050464098730563,-8.293576307488877,-6.840353875809233
12.200936346192517,-8.507220188861027,-5.0730242589255266,12.200936346192517,-8.507220188861027,-5.0730242589255266
11.407750843443273,-8.80650396775763,-3.077254856980532,11.407750843443273,-8.80650396775763,-3.077254856980532
11.097419649408552,-9.602977410548874,-1.7582999121433567,11.097419649408552,-9.602977410548874,-1.7582999121433567
10.914222782184371,-10.394301606461257,-0.5712648356614695,10.914222782184371,-10.394301606461257,-0.5712648356614695
10.766040515270614,-10.50744679287892,0.7331998659052483,10.766040515270614,-10.50744679287892,0.7331998659052483
10.889358746865998,-10.648849477911128,2.4135685617274616,10.889358746865998,-10.648849477911128,2.4135685617274616
11.698845920061329,-11.175549047508406,3.794067942065748,11.698845920061329,-11.175549047508406,3.794067942065748
12.736746521572258,-12.16117452124631,4.620859227126394,12.736746521572258,-12.16117452124631,4.620859227126394
13.650742728458804,-13.109991304542593,5.33010980793589,13.650742728458804,-13.109991304542593,5.33010980793589
13.932599689570859,-13.562939556127349,5.962009954001442,13.932599689570859,-13.562939556127349,5.962009954001442
13.79561530795877,-13.800555600925234,6.551814092877333,13.79561530795877,-13.800555600925234,6.551814092877333
13.318220941653255,-13.742219547077308,7.009547631245142,13.318220941653255,-13.742219547077308,7.009547631245142
12.704164682157684,-13.300168210160399,7.347205897838158,12.704164682157684,-13.300168210160399,7.347205897838158
11.94744785628726,-12.293255312490945,7.671353727007871,11.94744785628726,-12.293255312490945,7.671353727007871
11.312427900615962,-11.438463813177774,7.688808143984259,11.312427900615962,-11.438463813177774,7.688808143984259
10.877736362749005,-10.871094489544172,7.536837361251313,10.877736362749005,-10.871094489544172,7.536837361251313
10.287001569836903,-10.265590645526897,7.315917933747904,10.287001569836903,-10.265590645526897,7.315917933747904
9.5722971100627,-9.73191578884653,7.091232246673143,9.5722971100627,-9.73191578884653,7.091232246673143
8.507416007753323,-9.108828916618942,6.644846730591787,8.507416007753323,-9.108828916618942,6.644846730591787
7.444935815465191,-8.511163805806396,6.128754652666647,7.444935815465191,-8.511163805806396,6.128754652666647
6.64038466630347,-8.067809116649986,5.559329403106472,6.64038466630347,-8.067809116649986,5.559329403106472
5.8149359313738165,-7.628332041583558,4.60114149640298,5.8149359313738165,-7.628332041583558,4.60114149640298
5.13169217517719,-7.056912613874412,3.4097948818431,5.13169217517719,-7.056912613874412,3.4097948818431
4.591521199196056,-6.5446537723284575,2.6108093378763173,4.591521199196056,-6.5446537723284575,2.6108093378763173
3.93969850086619,-6.064161830467352,1.7820683041214602,3.93969850086619,-6.064161830467352,1.7820683041214602
3.3376821831965167,-5.582003686533321,1.1578562658173608,3.3376821831965167,-5.582003686533321,1.1578562658173608
2.672087457303924,-4.946832996766192,0.39791352344841574,2.672087457303924,-4.946832996766192,0.39791352344841574
2.099865955251902,-4.451376895037488,-0.36019043648437726,2.099865955251902,-4.451376895037488,-0.36019043648437726
1.7474386334657686,-4.168049070596901,-0.8439527661532015,1.7474386334657686,-4.168049070596901,-0.8439527661532015
1.44364765251608,-4.0332266223215285,-1.1020765255795113,1.44364765251608,-4.0332266223215285,-1.1020765255795113
